지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
131,2018-01-01 00:00,-.9,,1.2,270,56,3.2,-8.5,1018.9,1026.2,,,,,0,0,,,2000,,,-1.1,,,,
131,2018-01-01 01:00,-1.2,,.8,270,52,2.9,-9.8,1018.9,1026.2,,,,,,,,,2000,,,-1.3,,,,
131,2018-01-01 02:00,-1.3,,1.1,270,48,2.7,-10.9,1019,1026.3,,,,,,0,,,2000,,,-1.4,,,,
131,2018-01-01 03:00,-1.8,,.6,250,51,2.7,-10.6,1019.4,1026.7,,,,,0,0,,,2000,,,-1.7,,,,
131,2018-01-01 04:00,-2.2,,1.4,270,52,2.7,-10.7,1019.3,1026.6,,,,,0,0,,,2000,,,-1.7,,,,
131,2018-01-01 05:00,-2.5,,1,270,53,2.7,-10.7,1019.3,1026.7,,,,,0,0,,,2000,,,-2,,,,
131,2018-01-01 06:00,-3.3,,.8,270,59,2.8,-10.1,1019.3,1026.7,,,,,0,0,,,1747,,,-2.2,,,,
131,2018-01-01 07:00,-3.5,,1.2,230,63,3,-9.5,1019.8,1027.2,,,,,0,0,,,1756,,,-2.4,,,,
131,2018-01-01 08:00,-4.2,,.3,0,70,3.1,-8.8,1020.3,1027.7,0,0,,,0,0,,,1352,,,-2.4,,,,
131,2018-01-01 09:00,-2.6,,.8,270,66,3.3,-8,1021,1028.4,.9,.31,,,0,0,,,1256,,,-1.3,,,,
131,2018-01-01 10:00,-.6,,.8,180,54,3.2,-8.7,1021.6,1028.9,1,.83,,,0,0,,,1667,,,-.5,,,,
131,2018-01-01 11:00,1.3,,.8,50,42,2.8,-10.2,1021.9,1029.2,1,1.28,,,0,0,,,1780,,,-.2,,,,
131,2018-01-01 12:00,1.8,,1.8,290,35,2.4,-12,1021.4,1028.6,1,1.54,,,0,0,,,2000,,,.1,,,,
