지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
131,2017-01-01 00:00,2.4,,.5,290,78,5.7,-1,1022.7,1029.9,,,,,8,8,Sc,12,742,,40,.1,,,,
131,2017-01-01 01:00,2.2,,.2,0,78,5.6,-1.2,1022.6,1029.8,,,,,,9,,14,811,,40,-.7,,,,
131,2017-01-01 02:00,1.9,,.5,340,80,5.6,-1.1,1022.5,1029.8,,,,,,10,,13,676,,4019,-.5,,,,
131,2017-01-01 03:00,1.1,,.5,230,83,5.5,-1.4,1022.5,1029.8,,,,,5,5,Sc,13,604,,19,-1,,,,
131,2017-01-01 04:00,1,,0,0,84,5.5,-1.4,1022.3,1029.6,,,,,7,7,Sc,11,685,,19,-.9,,,,
131,2017-01-01 05:00,.6,,.5,320,87,5.6,-1.3,1022.2,1029.5,,,,,6,6,Sc,9,394,,19,-.9,,,,
131,2017-01-01 06:00,-.7,,.7,360,89,5.2,-2.2,1021.7,1029,,,,,2,2,Sc,10,310,,19,-1.5,,,,
131,2017-01-01 07:00,-1,,.9,340,90,5.1,-2.4,1022.6,1029.9,,,,,5,5,Sc,6,238,,19,-1.7,,,,
131,2017-01-01 08:00,-.2,,.7,180,90,5.4,-1.6,1023.1,1030.4,0,0,,,9,9,Sc,10,441,,19,-.8,,,,
131,2017-01-01 09:00,.5,,.5,200,87,5.5,-1.4,1023.5,1030.8,0,.13,,,7,7,Sc,11,440,,19,.2,,,,
131,2017-01-01 10:00,1.9,,.8,320,83,5.8,-.6,1023.9,1031.2,.6,.59,,,9,2,ScCi,10,476,,19,5.4,,,,
131,2017-01-01 11:00,2.1,,.9,340,82,5.8,-.6,1023.9,1031.2,.5,.74,,,8,6,ScCi,10,377,,19,6.5,,,,
131,2017-01-01 12:00,4.9,,.4,0,66,5.7,-.9,1022.9,1030.1,1,1.15,,,7,0,Ci,,584,,4019,13.2,,,,
131,2017-01-01 13:00,6.5,,.9,200,62,6,-.2,1021.7,1028.8,1,1.23,,,6,0,Ci,,916,,40,14.3,,,,
131,2017-01-01 14:00,7.8,,1.5,180,56,5.9,-.4,1020.8,1027.9,.9,1.27,,,5,0,Ci,,1018,,40,16.8,,,,
