날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-25,108,4.3,0.6,8.8
2020-01-26,108,5.5,-0.2,11.9
2020-01-27,108,5.9,4.8,7.5
2020-01-28,108,6.8,4.3,9.9
2020-01-29,108,6,3.2,9.6
2020-01-30,108,5.2,1.4,10.4
2020-01-31,108,3.9,1.4,8.9
2020-02-01,108,2.6,-1.2,7.6
2020-02-02,108,1.5,-2.1,5.3
2020-02-03,108,-0.4,-2.9,3
2020-02-04,108,-1.6,-6,3.9
2020-02-05,108,-8.3,-11,-4.9
2020-02-06,108,-6.4,-11.8,0.4
2020-02-07,108,-1.7,-7.2,2.2
2020-02-08,108,-0.1,-2.3,3.7
2020-02-09,108,-0.5,-5.6,4.1
2020-02-10,108,4,-0.7,9.6
2020-02-11,108,6.8,-0.5,14.6
2020-02-12,108,7.4,6.5,8.2
2020-02-13,108,6.5,4.9,8.7
2020-02-14,108,8.1,3.2,14.7
2020-02-15,108,9.8,6.2,15.6
2020-02-16,108,-1.4,-4.3,7.7
2020-02-17,108,-5.9,-7.1,-3.9
2020-02-18,108,-4.1,-8.3,1.3
2020-02-19,108,1,-4.4,6.4
2020-02-20,108,4.6,-0.6,10.8
2020-02-21,108,6.7,2.1,10.9
2020-02-22,108,4,0,7.9
2020-02-23,108,2.5,-2.5,8
2020-02-24,108,7,0.8,12.2
2020-02-25,108,6.7,4.7,9.4
2020-02-26,108,6.4,2.8,10.4
2020-02-27,108,6.1,1.3,12.5
2020-02-28,108,4.5,3.6,5.9
2020-02-29,108,7.7,4.5,13
2020-03-01,108,5.8,3.2,10.1
2020-03-02,108,3.4,0,7.6
2020-03-03,108,4.8,0.3,10.5
2020-03-04,108,2.2,-1.3,4.6
2020-03-05,108,1.4,-2.8,6.3
2020-03-06,108,3.7,-2.5,10.1
2020-03-07,108,7,1.3,14.2
2020-03-08,108,9.3,2.3,16.9
2020-03-09,108,11.1,4.8,17.6
2020-03-10,108,6.4,3.2,10.8
2020-03-11,108,3.8,0,8.3
2020-03-12,108,6.8,0.2,13.3
2020-03-13,108,4.9,-0.1,8.7
2020-03-14,108,3.6,-2.7,8.6
2020-03-15,108,4,0.2,8.5
2020-03-16,108,3.6,-2.1,9.1
