일시,지점,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
2020-03-09 02:15:00,131,6.16,0.0,207.62666666666667,0.34,1011.4266666666665,1018.5266666666666,61.29333333333333,0.0,0.0
2020-03-09 02:30:00,131,5.886666666666668,0.0,161.52666666666667,0.06666666666666667,1011.1333333333336,1018.2333333333336,62.71999999999999,0.0,0.0
2020-03-09 02:45:00,131,5.96,0.0,257.87333333333333,0.3466666666666667,1011.0066666666667,1018.1066666666669,62.986666666666665,0.0,0.0
2020-03-09 03:00:00,131,5.919999999999999,0.0,283.5933333333333,0.5466666666666667,1011.0266666666666,1018.1266666666668,62.65999999999999,0.0,0.0
2020-03-09 03:15:00,131,6.073333333333334,0.0,293.2933333333333,0.37999999999999995,1010.8466666666664,1017.9466666666665,60.753333333333316,0.0,0.0
2020-03-09 03:30:00,131,5.653333333333334,0.0,278.67333333333335,0.6799999999999999,1010.8199999999997,1017.9199999999998,62.41333333333334,0.0,0.0
2020-03-09 03:45:00,131,5.073333333333334,0.0,161.46,0.42,1010.8333333333333,1017.933333333333,64.82,0.0,0.0
2020-03-09 04:00:00,131,4.96,0.0,83.44666666666667,0.64,1010.5266666666665,1017.6266666666668,67.08666666666667,0.0,0.0
2020-03-09 04:15:00,131,4.926666666666667,0.0,159.90666666666667,0.17333333333333334,1010.3666666666663,1017.4666666666666,68.14,0.0,0.0
2020-03-09 04:30:00,131,5.193333333333333,0.0,180.80000000000004,0.36666666666666664,1010.3533333333331,1017.4533333333333,67.10666666666667,0.0,0.0
2020-03-09 04:45:00,131,5.333333333333332,0.0,138.44666666666666,0.18666666666666665,1010.2333333333336,1017.3333333333335,65.20666666666666,0.0,0.0
2020-03-09 05:00:00,131,4.94,0.0,94.59999999999998,0.14,1010.1000000000003,1017.2000000000003,66.55999999999999,0.0,0.0
2020-03-09 05:15:00,131,4.526666666666666,0.0,303.4800000000001,0.22000000000000003,1009.9933333333333,1017.0933333333336,69.24666666666667,0.0,0.0
2020-03-09 05:30:00,131,4.153333333333333,0.0,322.16,0.6266666666666666,1010.1200000000002,1017.2199999999999,72.17999999999999,0.0,0.0
2020-03-09 05:45:00,131,3.666666666666666,0.0,262.43333333333334,0.22000000000000003,1009.9933333333332,1017.0933333333335,73.84,0.0,0.0
2020-03-09 06:00:00,131,3.2600000000000002,0.0,212.52,0.22,1009.8999999999996,1016.9999999999999,75.69333333333334,0.0,0.0
2020-03-09 06:15:00,131,3.2466666666666657,0.0,166.65333333333334,0.2533333333333333,1009.5666666666667,1016.6666666666666,76.41999999999999,0.0,0.0
2020-03-09 06:30:00,131,3.406666666666666,0.0,187.01999999999998,0.10000000000000002,1009.3266666666664,1016.4266666666664,76.08666666666666,0.0,0.0
2020-03-09 06:45:00,131,3.4933333333333336,0.0,208.39333333333335,0.3466666666666667,1009.3933333333333,1016.4933333333335,76.12666666666665,0.0,0.0
2020-03-09 07:00:00,131,3.7399999999999993,0.0,298.74666666666667,0.7,1009.6933333333334,1016.7933333333332,75.22666666666666,0.0026666666666666666,0.0
2020-03-09 07:15:00,131,3.7400000000000007,0.0,271.37333333333333,0.6733333333333335,1009.6200000000003,1016.7199999999999,74.74,0.034,0.0
2020-03-09 07:30:00,131,3.8266666666666667,0.0,168.26000000000002,0.10666666666666667,1009.6733333333337,1016.773333333333,74.98666666666668,0.09066666666666669,0.0
