일시,temperature,percipitation,wind_degree,wind_speed,air_pressure,sea_level_pressure,humidity,solar_radiation,solar_intensity
2020-02-16 08:15:00,1.3133333333333335,0.0,260.2466666666667,2.506666666666667,1006.4466666666667,1013.6466666666668,90.44000000000001,0.0,0.0
2020-02-16 08:30:00,1.5133333333333332,0.0,268.7466666666666,2.1333333333333333,1006.52,1013.6800000000001,89.77333333333334,0.0,0.0
2020-02-16 08:45:00,1.2666666666666664,0.0,274.1666666666667,3.1599999999999997,1006.6466666666668,1013.8466666666666,86.89333333333333,0.0026666666666666666,0.0
2020-02-16 09:00:00,1.1999999999999997,0.0,275.8333333333333,2.64,1007.0133333333334,1014.2133333333333,84.53333333333333,0.007333333333333334,0.0
2020-02-16 09:15:00,1.153333333333333,0.0,276.6933333333334,2.3066666666666666,1007.0733333333335,1014.2733333333331,84.34,0.0033333333333333305,0.0
2020-02-16 09:30:00,1.1266666666666665,0.0,272.64,1.8200000000000003,1007.0400000000002,1014.2399999999999,84.2,0.008666666666666668,0.0
2020-02-16 09:45:00,1.0133333333333334,0.0,276.3066666666666,2.693333333333334,1007.2399999999997,1014.4399999999999,82.43333333333334,0.01866666666666667,0.0
2020-02-16 10:00:00,0.8466666666666669,0.0,271.58666666666664,2.52,1007.3466666666665,1014.5466666666669,80.88000000000001,0.025333333333333347,0.0
2020-02-16 10:15:00,0.8200000000000001,0.0,268.24,2.18,1007.5666666666668,1014.7666666666665,80.26666666666667,0.03666666666666667,0.0
2020-02-16 10:30:00,0.8600000000000002,0.0,268.2866666666667,2.0000000000000004,1007.7333333333335,1014.9333333333332,79.78666666666668,0.028666666666666674,0.0
2020-02-16 10:45:00,0.8400000000000002,0.0,268.09999999999997,2.786666666666667,1007.5466666666667,1014.7466666666668,77.52,0.03799999999999998,0.0
2020-02-16 11:00:00,0.8466666666666666,0.0,266.94,2.373333333333333,1007.5333333333333,1014.7333333333336,76.48,0.0626666666666667,0.0
2020-02-16 11:15:00,1.4200000000000004,0.0,276.3333333333333,1.9600000000000002,1007.3866666666664,1014.5666666666668,75.02666666666666,0.22333333333333338,114.53333333333333
2020-02-16 11:30:00,1.6199999999999999,0.0,276.0733333333333,2.006666666666667,1007.2133333333336,1014.3799999999997,71.52,0.25399999999999995,195.33333333333334
