일시,지점,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
2019-10-26 18:00:00,131.0,12.006666666666668,0.0,251.73999999999998,1.0666666666666667,1011.0,1017.8999999999999,62.25333333333334,14.020000000000003,27599.0
2019-10-26 18:15:00,131.0,11.806666666666668,0.0,182.79333333333332,0.7333333333333332,1011.1000000000003,1018.0,63.09333333333334,14.020000000000003,27599.0
2019-10-26 18:30:00,131.0,11.58,0.0,197.90666666666667,0.6733333333333333,1011.1000000000003,1018.0,63.080000000000005,14.020000000000003,27599.0
2019-10-26 18:45:00,131.0,11.32,0.0,241.2133333333333,0.9533333333333334,1011.2999999999998,1018.1999999999999,63.11333333333333,14.020000000000003,27599.0
2019-10-26 19:00:00,131.0,11.099999999999998,0.0,259.32666666666665,1.2933333333333334,1011.42,1018.3199999999998,63.70666666666667,14.020000000000003,27599.0
2019-10-26 19:15:00,131.0,10.913333333333336,0.0,235.79333333333338,1.0266666666666666,1011.6000000000003,1018.5000000000001,64.20666666666665,14.020000000000003,27599.0
2019-10-26 19:30:00,131.0,10.800000000000002,0.0,212.92000000000002,0.49333333333333335,1011.9133333333333,1018.813333333333,64.73333333333332,14.020000000000003,27599.0
2019-10-26 19:45:00,131.0,10.800000000000002,0.0,254.91333333333336,0.8066666666666666,1012.0266666666668,1018.9266666666666,64.83333333333333,14.020000000000003,27599.0
2019-10-26 20:00:00,131.0,10.773333333333332,0.0,259.4533333333333,1.22,1012.1400000000004,1019.0400000000002,64.53333333333335,14.020000000000003,27599.0
2019-10-26 20:15:00,131.0,10.793333333333333,0.0,244.65999999999997,0.64,1012.0866666666668,1018.9866666666666,64.87999999999998,14.020000000000003,27599.0
2019-10-26 20:30:00,131.0,10.619999999999997,0.0,291.76666666666665,0.86,1012.1466666666669,1019.0466666666669,64.48666666666668,14.020000000000003,27599.0
2019-10-26 20:45:00,131.0,10.626666666666663,0.0,281.24,0.9733333333333334,1012.4133333333332,1019.3866666666665,64.46,14.020000000000003,27599.0
2019-10-26 21:00:00,131.0,10.599999999999998,0.0,271.1733333333333,0.7733333333333332,1012.5,1019.5,64.42666666666666,14.020000000000003,27599.0
2019-10-26 21:15:00,131.0,10.566666666666666,0.0,245.94,0.5666666666666665,1012.5400000000001,1019.5400000000001,64.57333333333334,14.020000000000003,27599.0
2019-10-26 21:30:00,131.0,10.493333333333334,0.0,274.3266666666667,0.6266666666666666,1012.6000000000003,1019.6000000000003,64.64000000000001,14.020000000000003,27599.0
2019-10-26 21:45:00,131.0,10.3,0.0,273.82,0.7200000000000001,1012.6400000000002,1019.6400000000002,66.11999999999999,14.020000000000003,27599.0
